Time,H1,T1
509,50.0,50.2788
510,50.0,50.601099999999995
511,50.0,50.601099999999995
512,50.0,50.2788
513,50.0,50.2788
514,50.0,50.601099999999995
515,50.0,50.601099999999995
516,50.0,50.601099999999995
517,50.0,50.601099999999995
518,50.0,50.601099999999995
519,50.0,50.601099999999995
520,50.0,50.601099999999995
521,50.0,50.601099999999995
522,50.0,50.601099999999995
523,50.0,50.601099999999995
524,50.0,50.601099999999995
525,50.0,50.601099999999995
526,50.0,50.601099999999995
527,50.0,50.601099999999995
528,50.0,50.601099999999995
529,50.0,50.601099999999995
530,50.0,50.601099999999995
531,50.0,50.601099999999995
532,50.0,50.601099999999995
533,50.0,50.601099999999995
534,50.0,50.601099999999995
535,50.0,50.601099999999995
536,50.0,50.601099999999995
537,50.0,50.601099999999995
538,50.0,50.601099999999995
539,50.0,50.601099999999995
540,50.0,50.601099999999995
541,50.0,50.601099999999995
542,50.0,50.601099999999995
543,50.0,50.601099999999995
544,50.0,50.923399999999994
545,50.0,50.923399999999994
546,50.0,50.601099999999995
547,50.0,50.601099999999995
548,50.0,50.601099999999995
549,50.0,50.601099999999995
550,50.0,50.601099999999995
551,50.0,50.601099999999995
552,50.0,50.601099999999995
553,50.0,50.601099999999995
554,50.0,50.601099999999995
555,50.0,50.601099999999995
556,50.0,50.923399999999994
557,50.0,50.601099999999995
558,50.0,50.601099999999995
559,50.0,50.601099999999995
560,50.0,50.601099999999995
561,50.0,50.923399999999994
562,50.0,50.601099999999995
563,50.0,50.923399999999994
564,50.0,50.601099999999995
565,50.0,50.923399999999994
566,50.0,50.601099999999995
567,50.0,50.923399999999994
568,50.0,50.923399999999994
569,50.0,50.601099999999995
570,50.0,50.601099999999995
571,50.0,50.601099999999995
572,50.0,50.601099999999995
573,50.0,50.601099999999995
574,50.0,50.601099999999995
575,50.0,50.923399999999994
576,50.0,50.601099999999995
577,50.0,50.601099999999995
578,50.0,50.923399999999994
579,50.0,50.601099999999995
580,50.0,50.601099999999995
581,50.0,50.923399999999994
582,50.0,50.923399999999994
583,50.0,50.923399999999994
584,50.0,50.601099999999995
585,50.0,50.923399999999994
586,50.0,50.601099999999995
587,50.0,50.601099999999995
588,50.0,50.923399999999994
589,50.0,50.923399999999994
590,50.0,50.923399999999994
591,50.0,50.923399999999994
592,50.0,50.923399999999994
593,50.0,50.923399999999994
594,50.0,50.923399999999994
595,50.0,50.923399999999994
596,50.0,50.923399999999994
597,50.0,50.923399999999994
598,50.0,50.923399999999994
599,50.0,50.923399999999994
600,50.0,50.923399999999994
